WORD,OBSERVED,UNREDUC,PREC_STRESS,PREC_GRAMM_CLASS,PREC_SEG_M,PREC_SEG_P,CL_ENV,SUBJ_COMPLEXITY,NO_SYLLS,NO_WORDS,NO_PHRSE_BOUND,PRONOUN,NP,CONTEXT,SUBJ_DUR,PREC_WORD_DUR,WORDS_BTWN_HEAD_AUX,CONVO,SPEAKER,SEX,YOB,DIALECT,EDUC,LINE,NOTES,FOLLOWING_VERB,FOLLOWING_BROAD,CODER,CORPUS,YEAR_RECORDED,DATE_CODED,WORD_BEG,WORD_END,LINE_BEG,LINE_END,COMPLETE_SUBJ,PREC_WORD,FOLL_WORD
will,4,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw2045B,sw_1055,F,1965,SOUTH MIDLAND,2, occasionally i'll record one of the shows that's on in the morning while i'm at work and i'll do them_1 when i get home,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,196.78225,203.16775,i,i,record
had,4,x,m,p,a,a,y,s,1,NA,NA,1s,pro,cf,NA,NA,NA,sw2955B,sw_1260,F,1953,NORTH MIDLAND,2, [noise] when i turned nineteen in nineteen seventy i can't even remember at this point um when i turned nineteen it was the year that uh the draft was still going on if i had been a male or in Israel i'd have been number two,NA,been,been,LM,SWB,1991,firstpass,NA,NA,19.472625,31.04275,i,i,been
had,4,x,m,p,a,a,y,s,1,NA,NA,3p,pro,NA,NA,NA,NA,sw3930A,sw_1497,M,1932,WESTERN,2, [noise] where it's so clear cut we've had a couple cases here where they were actually caught and they uh and they had witnesses where they had killed two or three people,NA,killed,mono_vb,LM,SWB,1991,firstpass,NA,NA,111.384625,123.667375,they,they,killed
had,2,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw3382B,sw_1424,M,1958,SOUTH MIDLAND,2, [noise] yeah i agree uh as a matter of fact one of the ones that i had been to Houston to to you know to visit the uh space center out there and uh one of the big advances that we use every day now is velcro,NA,been,been,LM,SWB,1991,firstpass,NA,NA,75.887,89.174625,i,i,been
had,1,x,u,n,r,t,y,m,4,2,1,NA,NP,NA,0.66275,NA,NA,sw4497B,sw_1508,F,1963,WESTERN,3, [noise] yeah that's what happened to my other my grandmother my grandfather had died and she wanted to stay on and then she got Alzheimer's and it was a really hard thing for the whole family i'm much more appreciative of what my,NA,died,died,LM,SWB,1991,firstpass,NA,NA,209.9315,224.0745,my grandfather,grandfather,died
had,3,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw2501A,sw_1072,F,1941,SOUTH MIDLAND,2, [noise] yeah well no actually it had been uh it would had been a repaint job,NA,been,been,LM,SWB,1991,firstpass,NA,NA,190.672875,195.8955,it,it,been
had,1,x,u,n,t,t,n,m,3,2,1,NA,NP,NA,1.8,NA,NA,sw3787B,sw_1489,F,1961,SOUTH MIDLAND,2, [vocalized-noise] well there was a time when my [noise] husband had h[ad]- had traveled a lot and um,NA,(none),NA,LM,SWB,1991,firstpass,NA,NA,58.361,67.392125,my [noise] husband,husband,traveled
had,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sw3787B,sw_1489,F,1961,SOUTH MIDLAND,2, [vocalized-noise] well there was a time when my [noise] husband had h[ad]- had traveled a lot and um,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,58.361,67.392125,NA,NA,NA
had,2,x,m,p,a,a,y,s,1,NA,NA,3p,pro,NA,NA,NA,NA,sw4058B,sw_1525,M,1959,WESTERN,2, a reasonable doubt that they had committed a a crime worthy of it then i think it should be done,NA,committed,unstress_vb,LM,SWB,1991,firstpass,NA,NA,45.8265,51.868625,they,they,committed
had,3,x,m,p,a,a,y,s,1,NA,NA,3s,pro,NA,NA,NA,NA,sw2865A,sw_1244,F,1937,SOUTHERN,2, a very i will say this very quickly i had an attorney friend who said and he'd been practicing probably twenty five years and he said i wish there were more women in politics,NA,been,been,LM,SWB,1991,firstpass,NA,NA,408.313125,422.199625,he,he,been
had,2,x,m,dem,t,t,n,e,12,8,3,NA,NPadv,NA,NA,NA,NA,sw2604B,sw_1014,F,1947,MIXED,1, [LM: some recycling campaigns that] a year before that had been turned down because_1 they said well it's not feasible it's not a good idea,demonstrative is embedded in an adjunct that comes after a relative,been,been,LM,SWB,1991,firstpass,NA,NA,436.308625,441.573625,that,that,been
had,NA,p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sw3890B,sw_1438,M,1959,NORTH MIDLAND,3, a[ctually]- actually i don't know right now Longhorns aren't having quite the year that they had hoped um they they had a a star forward that that was disqualified because of,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,60.8035,71.786375,NA,NA,NA
had,2,x,m,n,n,t,y,m,2,2,1,NA,NP,NA,0.78,NA,NA,sw2564B,sw_1071,F,1951,SOUTH MIDLAND,3, about drug testing and marijuana whether or not marijuana causes any trouble or not and he was saying how the train had wrecked,NA,wrecked,mono_vb,LM,SWB,1991,firstpass,NA,NA,9.18125,17.21525,the train,train,wrecked
had,3,x,m,w,t,t,n,s,1,NA,NA,NA,other,NA,NA,NA,NA,sw2641B,sw_1235,F,1957,NYC,3, and [laughter-fried] itself [laughter] on the radiator behind the dresser i'll never forget that because i remember my brother he came home and he counted the fish and one of the fish was missing and they couldn't find it anyplace they couldn't figure out what had happened and then they found it fried on [laughter-the] [laughter-radiator] [laughter-behind],NA,happened,happened,LM,SWB,1991,firstpass,NA,NA,270.391875,284.9515,what,what,happened
had,3,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw3711A,sw_1446,M,1969,SOUTH MIDLAND,2, and [noise] uh i[t]- it had sparked an interest that uh uh of of mine that uh my fiancee is a is a um very very good photographer that's what she had originally gone to school to do was photography and uh,NA,sparked,mono_vb,LM,SWB,1991,firstpass,NA,NA,118.38475,131.455125,it,it,sparked
had,3,x,m,p,a,a,y,s,1,NA,NA,3s,pro,NA,NA,NA,NA,sw3711A,sw_1446,M,1969,SOUTH MIDLAND,2, and [noise] uh i[t]- it had sparked an interest that uh uh of of mine that uh my fiancee is a is a um very very good photographer that's what she had originally gone to school to do was photography and uh,NA,originally gone,unstress_advb,LM,SWB,1991,firstpass,NA,NA,118.38475,131.455125,she,she,originally
had,2,x,u,n,s,t,n,m,4,3,1,NA,NP,NA,0.67125,NA,NA,sw2481B,sw_1071,F,1951,SOUTH MIDLAND,3, and about four hundred people showed up right all the others had gotten out of it,NA,gotten,gotten,LM,SWB,1991,firstpass,NA,NA,178.926125,184.0165,all the others,others,gotten
had,4,x,m,p,a,a,y,s,1,NA,NA,3p,pro,NA,NA,NA,NA,sw3780B,sw_1041,M,1936,MIXED,3, and after about_1 a year and a half they finally realized that the pan that they'd replaced on that did not go with that serial number engine,NA,replaced,unstress_vb,LM,SWB,1991,firstpass,NA,NA,179.215375,186.99725,they,they,replaced
had,2,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw2184A,sw_1152,F,1947,SOUTH MIDLAND,2, and all on the job too you know it had gotten that bad,NA,gotten,gotten,LM,SWB,1991,firstpass,NA,NA,281.118375,286.762375,it,it,gotten
had,4,x,m,p,a,a,y,s,1,NA,NA,3p,pro,cf,NA,NA,NA,sw2959A,sw_1258,M,1956,SOUTH MIDLAND,2, and all they did is run and hide and they weren't really fighting you know it it would've been the same as Desert Storm if all they had been fighting was North Vietnam,NA,been,been,LM,SWB,1991,firstpass,NA,NA,287.767875,297.01275,they,they,been
had,2,x,m,p,a,a,y,s,1,NA,NA,2s,pro,NA,NA,NA,NA,sw2507B,sw_1127,M,1933,NEW ENGLAND,3, and and i was i was really surprised that there you can get guns of any kind that you want you know the other thing is you had talked about the uh,NA,talked,talked,LM,SWB,1991,firstpass,NA,NA,288.943125,296.95625,you,you,talked
had,2,x,m,n,s,t,n,s,1,1,1,NA,NP,cf,0.25,NA,NA,sw3380B,sw_1317,F,1950,WESTERN,2, and and it's still such a mess in that part of the country today you know it's not like you know i think if things had been resolved and that was in a better situation but i don't think that's true,NA,been,been,LM,SWB,1991,firstpass,NA,NA,167.215875,177.3825,things,things,been
had,3,x,m,p,a,a,y,s,1,NA,NA,3s,pro,NA,NA,NA,NA,sw4661B,sw_1573,M,1966,NYC,3, and and my wife went here as an undergraduate she had been sort of protected right through high school and and had to learn to,NA,been,been,LM,SWB,1991,firstpass,NA,NA,93.154875,100.681,she,she,been
had,2,x,u,n,r,t,y,s,4,2,1,NA,NP,NA,0.69,NA,NA,sw2453B,sw_1055,F,1965,SOUTH MIDLAND,2, and and the men basically see a business woman and ask them to go get coffee or something it's just it's very difficult to be well respected and and Margaret Margaret Thatcher had been in office it was probably very difficult for her at first but,NA,been,been,LM,SWB,1991,firstpass,NA,NA,581.143625,595.647375,Margaret Thatcher,Thatcher,been
had,2,x,u,n,n,p,n,m,3,2,1,NA,NP,NA,0.62,NA,NA,sw3890B,sw_1438,M,1959,NORTH MIDLAND,3, and and the the program had been in a long a long decline you know for for years they i guess back when Abe Lemons was here they built quite a quite a tradition,NA,been,been,LM,SWB,1991,firstpass,NA,NA,164.3435,175.588375,the program,program,been
had,2,x,m,n,s,t,n,m,2,2,1,NA,NP,NA,0.36,NA,NA,sw3493A,sw_1349,F,1965,NEW ENGLAND,3, and and trying to understand what the judge had written but i mean beyond that we really didn't have much debate um but the one i just got off of was capital murder trial,NA,written,stress_vb,LM,SWB,1991,firstpass,NA,NA,83.8055,93.225,the judge,judge,written
had,2,x,m,p,a,a,y,s,1,NA,NA,1s,pro,cf,NA,NA,NA,sw3910A,sw_1359,M,1952,SOUTHERN,2, and and until i- i- i guess it would be something that if i had been uh uh a little more educated in it or forced into using it more i might be more comfortable with it,NA,been,been,LM,SWB,1991,firstpass,NA,NA,121.528375,132.16,i,i,been
had,3,x,u,q,n,t,y,s,2,NA,NA,NA,other,NA,NA,NA,NA,sw3943A,sw_1470,M,1944,SOUTH MIDLAND,2, and course you know the [vocalized-noise] the famous joke is Japan does so good in business because they only let ten attorneys a year graduate each year and that's if fifteen had died the year before and [laughter],fifteen' NP or quantifier?,died,died,LM,SWB,1991,firstpass,NA,NA,73.282,83.60875,fifteen,fifteen,died
had,4,x,u,n,a,a,y,s,3,2,1,NA,NP,NA,0.54,NA,NA,sw2411B,sw_1033,F,1965,SOUTH MIDLAND,1, and Doug Flutie had called a time out,NA,called,mono_vb,LM,SWB,1991,firstpass,NA,NA,281.289,284.19175,Doug Flutie,Flutie,called
had,2,x,m,dem,t,t,n,s,1,NA,NA,NA,other,NA,NA,NA,NA,sw2916A,sw_1132,F,1942,SOUTH MIDLAND,3, and everytime the uh Congress changes and people move offices they redecorate the whole office they spend half a million dollars on the Speaker of the House to renovate an office that had been,NA,been,been,LM,SWB,1991,firstpass,NA,NA,298.982375,312.345375,that,that,been
had,3,x,m,w,t,t,n,s,1,NA,NA,NA,other,NA,NA,NA,NA,sw2308B,sw_1117,M,1950,NORTH MIDLAND,2, and explained to the uh person that was in charge you know what had happened and that they had ta[king]- they had to take her out of the home because of the conditions and amazingly enough the very next day they had an opening and they they put her into that opening,NA,happened,happened,LM,SWB,1991,firstpass,NA,NA,267.999,280.97525,what,what,happened
had,2,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw3064A,sw_1264,F,1943,SOUTH MIDLAND,2, and for the most part i had used those for like uh charging airline tickets,NA,used,mono_vb,LM,SWB,1991,firstpass,NA,NA,66.760375,74.0075,i,i,used
had,3,x,u,n,l,t,y,s,2,1,1,NA,NP,NA,0.41,NA,NA,sw2680B,sw_1128,M,1933,SOUTH MIDLAND,2, and had cleared the land there was uh uh uh fill there people had use thrown old tires and junk and everything else in the land,NA,cleared,mono_vb,LM,SWB,1991,firstpass,NA,NA,230.693875,240.953375,people,people,thrown
had,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sw2680B,sw_1128,M,1933,SOUTH MIDLAND,2, and had cleared the land there was uh uh uh fill there people had use thrown old tires and junk and everything else in the land,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,230.693875,240.953375,NA,NA,NA
had,1,x,m,p,a,a,y,s,1,NA,NA,3s,pro,NA,NA,NA,NA,sw3340B,sw_1315,F,1943,SOUTH MIDLAND,3, and he had been suspended a couple of times because of drug testing and was to the point he is on probation,NA,been,been,LM,SWB,1991,firstpass,NA,NA,105.48525,114.99625,he,he,been
had,3,x,m,p,a,a,y,s,1,NA,NA,3s,pro,NA,NA,NA,NA,sw4377B,sw_1608,F,1948,SOUTH MIDLAND,3, and he had taken it back to the store for repair,NA,taken,taken,LM,SWB,1991,firstpass,NA,NA,200.8525,204.843875,he,he,taken
had,3,x,m,p,a,a,y,s,1,NA,NA,3s,pro,NA,NA,NA,NA,sw3372B,sw_1035,F,1953,NORTH MIDLAND,2, and he had taken some kind of um oh you know uh just he had some kind of flu or something he got a real bad migraine and he took his mother's,NA,taken,taken,LM,SWB,1991,firstpass,NA,NA,290.37475,298.626,he,he,taken
had,2,x,m,w,t,t,n,s,1,NA,NA,NA,other,NA,NA,NA,NA,sw3826B,sw_1490,M,1950,NORTH MIDLAND,3, and he had viewed [LM: not sure I agree with this transcription; didn't code] it the day after and uh got it completely backwards in terms of what had happened that was significant because of the obvious contention that there were two gunmen at least and not one,NA,happened,happened,LM,SWB,1991,firstpass,NA,NA,99.239375,111.68125,what,what,happened
had,4,x,m,p,a,a,y,s,1,NA,NA,3p,pro,NA,NA,NA,NA,sw4265B,sw_1575,M,1954,NORTHERN,2, and he was screaming at the police primarily because about two days before you know they were telling him we're spread to thin to enforce car theft and a few days before they'd given him a ticket for parking fifteen minutes late at a meter,NA,given,given,LM,SWB,1991,firstpass,NA,NA,261.16625,271.98225,they,they,given
had,2,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw3380A,sw_1411,M,1951,NYC,2, and i had been and they and uh they only took up two hundred that year,NA,been,been,LM,SWB,1991,firstpass,NA,NA,116.701875,120.08325,i,i,been
had,2,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw3380A,sw_1411,M,1951,NYC,2, and i had been uh in in ROTC too uh so i would at least have a choice about what i was going to do,NA,been,been,LM,SWB,1991,firstpass,NA,NA,120.08325,126.62525,i,i,been
had,3,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw2827B,sw_1028,M,1965,NYC,3, and i had frozen it and i'm defrosting that and making some defrosting some gravy and making corn and this wheat pilaf stuff that you can buy at a store which is like uh rice pilaf but we with with with wheat kernel that,NA,frozen,stress_vb,LM,SWB,1991,firstpass,NA,NA,12.296,25.394,i,i,frozen
had,2,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw3976B,sw_1263,F,1934,NORTHERN,2, and i had smelled it before i thought and i thought,NA,smelled,mono_vb,LM,SWB,1991,firstpass,NA,NA,30.538875,34.377375,i,i,smelled
had,2,x,u,adv,r,t,y,m,3,2,1,NA,NPadv,NA,NA,NA,NA,sw3849A,sw_1462,M,1961,WESTERN,3, and i mean didn't even spend very much money for it i don't think he spent more than five hundred dollars for it but he said it was the most reliable car he ever had purchased,NA,purchased,purchased,LM,SWB,1991,firstpass,NA,NA,187.48375,197.216625,he ever,ever,purchased
had,2,x,s,n,n,t,y,e,5,3,2,NA,NP,NA,0.832375,NA,NA,sw3919B,sw_1487,M,1967,NORTH MIDLAND,2, and i saw that they uh Iraq and Iran had offered uh twenty thousand dollars a month to nuclear scientists i mean,not sure how many phrases a conjoined DP counts as?,offered,stress_vb,LM,SWB,1991,firstpass,NA,NA,156.711,162.523125,Iraq and Iran,Iran,offered
had,4,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw3480A,sw_1439,M,1944,SOUTH MIDLAND,1, and i tasted it and it taste pretty good and the shark was on sale so i bought some and the first time i'd eaten shark and cooked in it turned out real good,NA,eaten,stress_vb,LM,SWB,1991,firstpass,NA,NA,185.980375,194.431375,i,i,eaten
had,3,x,m,r,t,t,n,s,3,NA,NA,NA,other,NA,NA,NA,NA,sw3280A,sw_1415,F,1939,SOUTH MIDLAND,1, and i thought that was very interesting and i thought that was v[ery]- very important for kids they they brought down something that had happened like if there was something going on,NA,happened,happened,LM,SWB,1991,firstpass,NA,NA,177.49025,185.410125,that,that,happened
had,3,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw2443A,sw_1127,M,1933,NEW ENGLAND,3, and i was going to do that until the end of our sophomore year when we wanted uh we came time to sign up for majors and i had taken chemistry for the first time that year and surprised myself i did well in it,NA,taken,taken,LM,SWB,1991,firstpass,NA,NA,533.32175,543.65775,i,i,taken
had,1,x,m,x,t,t,n,s,1,NA,NA,NA,other,NA,NA,NA,NA,sw3542B,sw_1444,F,1962,WESTERN,1, and i was surprised by that because it had seemed to me like there was almost getting to be that it was hard to get people to run because of the reason that,NA,seemed,mono_vb,LM,SWB,1991,firstpass,NA,NA,187.37175,194.845875,it,it,seemed
had,3,x,m,p,a,a,y,s,1,NA,NA,3s,pro,NA,NA,NA,NA,sw3356A,sw_1311,F,1941,SOUTHERN,3, and i- i mean i could see that what i was doing made a difference and so um my husband and i uh took together he had played some,NA,played,mono_vb,LM,SWB,1991,firstpass,NA,NA,35.005125,43.30275,he,he,played
had,1,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw2382B,sw_1149,F,1954,NORTH MIDLAND,2, and i'll tell you how they handled this and i was just outraged i did not know that since i was on personal leave of absence that i had been uh terminated,NA,been,been,LM,SWB,1991,firstpass,NA,NA,358.6775,367.342,i,i,been
has,4,x,m,dem,t,t,y,s,1,NA,NA,NA,other,NA,NA,NA,NA,sw2091B,sw_1035,F,1953,NORTH MIDLAND,2, now i think overall there's [LM: that's] been a change i don't think um that's uh [LM: been surpassed],NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,15.90525,21.088625,that,that,been
had,4,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw2663B,sw_1084,M,1959,WESTERN,3, and if if it had passed if these people had gotten out the vote it would have passed and there'd be no more argument but they're still fighting about it because of the way that election went last December,NA,passed,mono_vb,LM,SWB,1991,firstpass,NA,NA,326.455625,338.025125,it,it,passed
had,3,x,u,n,l,t,y,m,3,2,1,NA,NP,NA,0.54,NA,NA,sw2663B,sw_1084,M,1959,WESTERN,3, and if if it had passed if these people had gotten out the vote it would have passed and there'd be no more argument but they're still fighting about it because of the way that election went last December,NA,gotten,gotten,LM,SWB,1991,firstpass,NA,NA,326.455625,338.025125,these people,people,gotten
had,4,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw2699A,sw_1074,F,1968,NYC,2, and it completely shut down it wouldn't it just started going it went in drive and just kept driving i would put it in rear it kept going straight so i just drove it to the Nissan place and they said that it looked like i'd bumped something underneath the car,NA,bumped,mono_vb,LM,SWB,1991,firstpass,NA,NA,328.64175,341.374,i,i,bumped
had,2,x,m,p,a,a,y,s,1,NA,NA,1p,pro,NA,NA,NA,NA,sw2380A,sw_1132,F,1942,SOUTH MIDLAND,3, and it finally ended up that uh even though we had reached a verdict before we were allowed to give it they settled the case,NA,reached,mono_vb,LM,SWB,1991,firstpass,NA,NA,112.974,121.33575,we,we,reached
had,3,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw3842A,sw_1477,M,1957,NORTH MIDLAND,2, and it had shed almost all its leaves it looked really scraggly and rough and when somebody finally told us the only way to treat those things is to put them some place and leave them_1,NA,shed,mono_vb,LM,SWB,1991,firstpass,NA,NA,290.428875,298.69,it,it,shed
had,1,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw3517A,sw_1349,F,1965,NEW ENGLAND,3, and it was it had previously been unoccupied but it had existed for three years,NA,previously been,stress_advb,LM,SWB,1991,firstpass,NA,NA,197.12625,203.199125,it,it,previously
had,1,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw3517A,sw_1349,F,1965,NEW ENGLAND,3, and it was it had previously been unoccupied but it had existed for three years,NA,existed,unstress_vb,LM,SWB,1991,firstpass,NA,NA,197.12625,203.199125,it,it,existed
had,1,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw2733B,sw_1127,M,1933,NEW ENGLAND,3, and it's the first big car i had since i had my nine passenger Impala station wagon from seventy six to eighty [noise] and it made all the i- i had forgotten what driving a big car was like,NA,forgotten,forgotten,LM,SWB,1991,firstpass,NA,NA,222.885,233.429125,i,i,forgotten
had,3,x,u,n,r,t,y,m,4,2,1,NA,NP,NA,0.61,NA,NA,sw4149B,sw_1600,F,1972,SOUTH MIDLAND,2, and my parents divorced three years ago and my sister had gotten through college but i was still in high school and my mother paid for a lot of my sister's college while my parents were together,NA,gotten,gotten,LM,SWB,1991,firstpass,NA,NA,180.379125,192.781625,my sister,sister,gotten
had,3,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw4183B,sw_1593,M,1962,NORTH MIDLAND,3, and next thing i knew man it'd gotten till it really smelled of the outside,NA,gotten,gotten,LM,SWB,1991,firstpass,NA,NA,239.061875,244.75975,it,it,gotten
had,3,x,m,p,a,a,y,s,1,NA,NA,3p,pro,NA,NA,NA,NA,sw2628B,sw_1011,F,1964,SOUTH MIDLAND,2, and not have kids and i think for society for such a long time said well you know you're married now you need to se[t]- have have your family and i don't think it's been until recently that that they had decided that two people was a family,NA,decided,decided,LM,SWB,1991,firstpass,NA,NA,106.972625,119.99925,they,they,decided
